# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.5000000000+0.0000000000j,0.8326958485+0.0000000000j,0.0000000000+0.0000000000j,0.0006859530+0.0000000000j,0.0006860395+0.0000000000j
-0.4999333333+0.0000000000j,0.8326764878+0.0000000000j,0.0000087275+0.0000000000j,0.0006875608+0.0000000000j,0.0006876477+0.0000000000j
-0.4998666667+0.0000000000j,0.8326571277+0.0000000000j,0.0000174547+0.0000000000j,0.0006891721+0.0000000000j,0.0006892593+0.0000000000j
-0.4998000000+0.0000000000j,0.8326377684+0.0000000000j,0.0000261816+0.0000000000j,0.0006907869+0.0000000000j,0.0006908744+0.0000000000j
-0.4997333333+0.0000000000j,0.8326184099+0.0000000000j,0.0000349081+0.0000000000j,0.0006924052+0.0000000000j,0.0006924930+0.0000000000j
-0.4996666667+0.0000000000j,0.8325990521+0.0000000000j,0.0000436344+0.0000000000j,0.0006940270+0.0000000000j,0.0006941152+0.0000000000j
-0.4996000000+0.0000000000j,0.8325796949+0.0000000000j,0.0000523604+0.0000000000j,0.0006956524+0.0000000000j,0.0006957409+0.0000000000j
-0.4995333333+0.0000000000j,0.8325603385+0.0000000000j,0.0000610861+0.0000000000j,0.0006972813+0.0000000000j,0.0006973701+0.0000000000j
-0.4994666667+0.0000000000j,0.8325409829+0.0000000000j,0.0000698114+0.0000000000j,0.0006989137+0.0000000000j,0.0006990028+0.0000000000j
-0.4994000000+0.0000000000j,0.8325216279+0.0000000000j,0.0000785365+0.0000000000j,0.0007005497+0.0000000000j,0.0007006391+0.0000000000j
-0.4993333333+0.0000000000j,0.8325022738+0.0000000000j,0.0000872612+0.0000000000j,0.0007021892+0.0000000000j,0.0007022790+0.0000000000j
-0.4992666667+0.0000000000j,0.8324829203+0.0000000000j,0.0000959857+0.0000000000j,0.0007038323+0.0000000000j,0.0007039224+0.0000000000j
-0.4992000000+0.0000000000j,0.8324635675+0.0000000000j,0.0001047098+0.0000000000j,0.0007054790+0.0000000000j,0.0007055694+0.0000000000j
-0.4991333333+0.0000000000j,0.8324442155+0.0000000000j,0.0001134336+0.0000000000j,0.0007071292+0.0000000000j,0.0007072199+0.0000000000j
-0.4990666667+0.0000000000j,0.8324248643+0.0000000000j,0.0001221572+0.0000000000j,0.0007087830+0.0000000000j,0.0007088740+0.0000000000j
-0.4990000000+0.0000000000j,0.8324055138+0.0000000000j,0.0001308804+0.0000000000j,0.0007104404+0.0000000000j,0.0007105318+0.0000000000j
