# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-2.0000000000+0.0000000000j,1.0000000000+0.0000000000j,0.0000000000+0.0000000000j,0.0006859530+0.0000000000j,0.0006860395+0.0000000000j
-1.9997333333+0.0000000000j,0.9999996498+0.0000000000j,0.0000003477+0.0000000000j,0.0006875608+0.0000000000j,0.0006876477+0.0000000000j
-1.9994666667+0.0000000000j,0.9999992995+0.0000000000j,0.0000006956+0.0000000000j,0.0006891721+0.0000000000j,0.0006892593+0.0000000000j
-1.9992000000+0.0000000000j,0.9999989492+0.0000000000j,0.0000010437+0.0000000000j,0.0006907869+0.0000000000j,0.0006908744+0.0000000000j
-1.9989333333+0.0000000000j,0.9999985992+0.0000000000j,0.0000013920+0.0000000000j,0.0006924052+0.0000000000j,0.0006924930+0.0000000000j
-1.9986666667+0.0000000000j,0.9999982492+0.0000000000j,0.0000017403+0.0000000000j,0.0006940270+0.0000000000j,0.0006941152+0.0000000000j
-1.9984000000+0.0000000000j,0.9999978992+0.0000000000j,0.0000020888+0.0000000000j,0.0006956524+0.0000000000j,0.0006957409+0.0000000000j
-1.9981333333+0.0000000000j,0.9999975491+0.0000000000j,0.0000024372+0.0000000000j,0.0006972813+0.0000000000j,0.0006973701+0.0000000000j
-1.9978666667+0.0000000000j,0.9999971988+0.0000000000j,0.0000027856+0.0000000000j,0.0006989137+0.0000000000j,0.0006990028+0.0000000000j
-1.9976000000+0.0000000000j,0.9999968485+0.0000000000j,0.0000031340+0.0000000000j,0.0007005497+0.0000000000j,0.0007006391+0.0000000000j
-1.9973333333+0.0000000000j,0.9999964984+0.0000000000j,0.0000034822+0.0000000000j,0.0007021892+0.0000000000j,0.0007022790+0.0000000000j
-1.9970666667+0.0000000000j,0.9999961484+0.0000000000j,0.0000038302+0.0000000000j,0.0007038323+0.0000000000j,0.0007039224+0.0000000000j
-1.9968000000+0.0000000000j,0.9999957985+0.0000000000j,0.0000041780+0.0000000000j,0.0007054790+0.0000000000j,0.0007055694+0.0000000000j
-1.9965333333+0.0000000000j,0.9999954483+0.0000000000j,0.0000045257+0.0000000000j,0.0007071292+0.0000000000j,0.0007072199+0.0000000000j
-1.9962666667+0.0000000000j,0.9999950980+0.0000000000j,0.0000048731+0.0000000000j,0.0007087830+0.0000000000j,0.0007088740+0.0000000000j
-1.9960000000+0.0000000000j,0.9999947477+0.0000000000j,0.0000052204+0.0000000000j,0.0007104404+0.0000000000j,0.0007105318+0.0000000000j
-1.9957333333+0.0000000000j,0.9999943976+0.0000000000j,0.0000055674+0.0000000000j,0.0007121014+0.0000000000j,0.0007121931+0.0000000000j
-1.9954666667+0.0000000000j,0.9999940476+0.0000000000j,0.0000059144+0.0000000000j,0.0007137660+0.0000000000j,0.0007138580+0.0000000000j
