# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.5000000000+0.0000000000j,0.4232036107+0.0000000000j,0.4275842846+0.0000000000j,0.0006859530+0.0000000000j,0.0006860395+0.0000000000j
-0.4999333333+0.0000000000j,0.4231982140+0.0000000000j,0.4275787501+0.0000000000j,0.0006875608+0.0000000000j,0.0006876477+0.0000000000j
-0.4998666667+0.0000000000j,0.4231928172+0.0000000000j,0.4275732155+0.0000000000j,0.0006891721+0.0000000000j,0.0006892593+0.0000000000j
-0.4998000000+0.0000000000j,0.4231874200+0.0000000000j,0.4275676803+0.0000000000j,0.0006907869+0.0000000000j,0.0006908744+0.0000000000j
-0.4997333333+0.0000000000j,0.4231820224+0.0000000000j,0.4275621444+0.0000000000j,0.0006924052+0.0000000000j,0.0006924930+0.0000000000j
-0.4996666667+0.0000000000j,0.4231766240+0.0000000000j,0.4275566076+0.0000000000j,0.0006940270+0.0000000000j,0.0006941152+0.0000000000j
-0.4996000000+0.0000000000j,0.4231712249+0.0000000000j,0.4275510696+0.0000000000j,0.0006956524+0.0000000000j,0.0006957409+0.0000000000j
-0.4995333333+0.0000000000j,0.4231658251+0.0000000000j,0.4275455304+0.0000000000j,0.0006972813+0.0000000000j,0.0006973701+0.0000000000j
-0.4994666667+0.0000000000j,0.4231604245+0.0000000000j,0.4275399901+0.0000000000j,0.0006989137+0.0000000000j,0.0006990028+0.0000000000j
-0.4994000000+0.0000000000j,0.4231550233+0.0000000000j,0.4275344489+0.0000000000j,0.0007005497+0.0000000000j,0.0007006391+0.0000000000j
-0.4993333333+0.0000000000j,0.4231496217+0.0000000000j,0.4275289069+0.0000000000j,0.0007021892+0.0000000000j,0.0007022790+0.0000000000j
-0.4992666667+0.0000000000j,0.4231442200+0.0000000000j,0.4275233645+0.0000000000j,0.0007038323+0.0000000000j,0.0007039224+0.0000000000j
-0.4992000000+0.0000000000j,0.4231388183+0.0000000000j,0.4275178220+0.0000000000j,0.0007054790+0.0000000000j,0.0007055694+0.0000000000j
-0.4991333333+0.0000000000j,0.4231334169+0.0000000000j,0.4275122797+0.0000000000j,0.0007071292+0.0000000000j,0.0007072199+0.0000000000j
-0.4990666667+0.0000000000j,0.4231280162+0.0000000000j,0.4275067381+0.0000000000j,0.0007087830+0.0000000000j,0.0007088740+0.0000000000j
-0.4990000000+0.0000000000j,0.4231226163+0.0000000000j,0.4275011975+0.0000000000j,0.0007104404+0.0000000000j,0.0007105318+0.0000000000j
-0.4989333333+0.0000000000j,0.4231172176+0.0000000000j,0.4274956582+0.0000000000j,0.0007121014+0.0000000000j,0.0007121931+0.0000000000j
-0.4988666667+0.0000000000j,0.4231118201+0.0000000000j,0.4274901205+0.0000000000j,0.0007137660+0.0000000000j,0.0007138580+0.0000000000j
-0.4988000000+0.0000000000j,0.4231064239+0.0000000000j,0.4274845845+0.0000000000j,0.0007154342+0.0000000000j,0.0007155265+0.0000000000j
-0.4987333333+0.0000000000j,0.4231010292+0.0000000000j,0.4274790503+0.0000000000j,0.0007171060+0.0000000000j,0.0007171987+0.0000000000j
-0.4986666667+0.0000000000j,0.4230956359+0.0000000000j,0.4274735179+0.0000000000j,0.0007187814+0.0000000000j,0.0007188744+0.0000000000j
-0.4986000000+0.0000000000j,0.4230902439+0.0000000000j,0.4274679873+0.0000000000j,0.0007204605+0.0000000000j,0.0007205538+0.0000000000j
-0.4985333333+0.0000000000j,0.4230848530+0.0000000000j,0.4274624582+0.0000000000j,0.0007221432+0.0000000000j,0.0007222369+0.0000000000j
-0.4984666667+0.0000000000j,0.4230794631+0.0000000000j,0.4274569303+0.0000000000j,0.0007238295+0.0000000000j,0.0007239235+0.0000000000j
-0.4984000000+0.0000000000j,0.4230740739+0.0000000000j,0.4274514034+0.0000000000j,0.0007255195+0.0000000000j,0.0007256139+0.0000000000j
-0.4983333333+0.0000000000j,0.4230686851+0.0000000000j,0.4274458771+0.0000000000j,0.0007272132+0.0000000000j,0.0007273079+0.0000000000j
-0.4982666667+0.0000000000j,0.4230632965+0.0000000000j,0.4274403510+0.0000000000j,0.0007289105+0.0000000000j,0.0007290055+0.0000000000j
-0.4982000000+0.0000000000j,0.4230579077+0.0000000000j,0.4274348247+0.0000000000j,0.0007306115+0.0000000000j,0.0007307069+0.0000000000j
-0.4981333333+0.0000000000j,0.4230525186+0.0000000000j,0.4274292978+0.0000000000j,0.0007323162+0.0000000000j,0.0007324119+0.0000000000j
-0.4980666667+0.0000000000j,0.4230471289+0.0000000000j,0.4274237702+0.0000000000j,0.0007340245+0.0000000000j,0.0007341206+0.0000000000j
-0.4980000000+0.0000000000j,0.4230417384+0.0000000000j,0.4274182415+0.0000000000j,0.0007357366+0.0000000000j,0.0007358330+0.0000000000j
-0.4979333333+0.0000000000j,0.4230363472+0.0000000000j,0.4274127116+0.0000000000j,0.0007374523+0.0000000000j,0.0007375491+0.0000000000j
-0.4978666667+0.0000000000j,0.4230309552+0.0000000000j,0.4274071805+0.0000000000j,0.0007391718+0.0000000000j,0.0007392689+0.0000000000j
-0.4978000000+0.0000000000j,0.4230255623+0.0000000000j,0.4274016483+0.0000000000j,0.0007408950+0.0000000000j,0.0007409924+0.0000000000j
-0.4977333333+0.0000000000j,0.4230201689+0.0000000000j,0.4273961150+0.0000000000j,0.0007426219+0.0000000000j,0.0007427197+0.0000000000j
-0.4976666667+0.0000000000j,0.4230147750+0.0000000000j,0.4273905809+0.0000000000j,0.0007443525+0.0000000000j,0.0007444507+0.0000000000j
-0.4976000000+0.0000000000j,0.4230093809+0.0000000000j,0.4273850463+0.0000000000j,0.0007460869+0.0000000000j,0.0007461854+0.0000000000j
-0.4975333333+0.0000000000j,0.4230039869+0.0000000000j,0.4273795116+0.0000000000j,0.0007478250+0.0000000000j,0.0007479239+0.0000000000j
-0.4974666667+0.0000000000j,0.4229985932+0.0000000000j,0.4273739772+0.0000000000j,0.0007495669+0.0000000000j,0.0007496661+0.0000000000j
-0.4974000000+0.0000000000j,0.4229932001+0.0000000000j,0.4273684434+0.0000000000j,0.0007513125+0.0000000000j,0.0007514121+0.0000000000j
-0.4973333333+0.0000000000j,0.4229878079+0.0000000000j,0.4273629107+0.0000000000j,0.0007530619+0.0000000000j,0.0007531619+0.0000000000j
-0.4972666667+0.0000000000j,0.4229824169+0.0000000000j,0.4273573793+0.0000000000j,0.0007548151+0.0000000000j,0.0007549154+0.0000000000j
-0.4972000000+0.0000000000j,0.4229770272+0.0000000000j,0.4273518496+0.0000000000j,0.0007565721+0.0000000000j,0.0007566727+0.0000000000j
-0.4971333333+0.0000000000j,0.4229716388+0.0000000000j,0.4273463216+0.0000000000j,0.0007583328+0.0000000000j,0.0007584338+0.0000000000j
-0.4970666667+0.0000000000j,0.4229662520+0.0000000000j,0.4273407955+0.0000000000j,0.0007600974+0.0000000000j,0.0007601987+0.0000000000j
-0.4970000000+0.0000000000j,0.4229608666+0.0000000000j,0.4273352713+0.0000000000j,0.0007618657+0.0000000000j,0.0007619674+0.0000000000j
-0.4969333333+0.0000000000j,0.4229554826+0.0000000000j,0.4273297489+0.0000000000j,0.0007636379+0.0000000000j,0.0007637400+0.0000000000j
-0.4968666667+0.0000000000j,0.4229500997+0.0000000000j,0.4273242281+0.0000000000j,0.0007654139+0.0000000000j,0.0007655163+0.0000000000j
-0.4968000000+0.0000000000j,0.4229447179+0.0000000000j,0.4273187086+0.0000000000j,0.0007671937+0.0000000000j,0.0007672965+0.0000000000j
-0.4967333333+0.0000000000j,0.4229393367+0.0000000000j,0.4273131901+0.0000000000j,0.0007689774+0.0000000000j,0.0007690805+0.0000000000j
-0.4966666667+0.0000000000j,0.4229339560+0.0000000000j,0.4273076722+0.0000000000j,0.0007707649+0.0000000000j,0.0007708684+0.0000000000j
-0.4966000000+0.0000000000j,0.4229285754+0.0000000000j,0.4273021544+0.0000000000j,0.0007725562+0.0000000000j,0.0007726601+0.0000000000j
-0.4965333333+0.0000000000j,0.4229231947+0.0000000000j,0.4272966365+0.0000000000j,0.0007743514+0.0000000000j,0.0007744557+0.0000000000j
-0.4964666667+0.0000000000j,0.4229178136+0.0000000000j,0.4272911180+0.0000000000j,0.0007761505+0.0000000000j,0.0007762551+0.0000000000j
-0.4964000000+0.0000000000j,0.4229124319+0.0000000000j,0.4272855987+0.0000000000j,0.0007779534+0.0000000000j,0.0007780584+0.0000000000j
-0.4963333333+0.0000000000j,0.4229070494+0.0000000000j,0.4272800782+0.0000000000j,0.0007797602+0.0000000000j,0.0007798656+0.0000000000j
-0.4962666667+0.0000000000j,0.4229016660+0.0000000000j,0.4272745564+0.0000000000j,0.0007815709+0.0000000000j,0.0007816767+0.0000000000j
-0.4962000000+0.0000000000j,0.4228962817+0.0000000000j,0.4272690334+0.0000000000j,0.0007833855+0.0000000000j,0.0007834917+0.0000000000j
-0.4961333333+0.0000000000j,0.4228908967+0.0000000000j,0.4272635091+0.0000000000j,0.0007852040+0.0000000000j,0.0007853105+0.0000000000j
-0.4960666667+0.0000000000j,0.4228855109+0.0000000000j,0.4272579837+0.0000000000j,0.0007870264+0.0000000000j,0.0007871333+0.0000000000j
-0.4960000000+0.0000000000j,0.4228801247+0.0000000000j,0.4272524575+0.0000000000j,0.0007888528+0.0000000000j,0.0007889600+0.0000000000j
-0.4959333333+0.0000000000j,0.4228747383+0.0000000000j,0.4272469308+0.0000000000j,0.0007906830+0.0000000000j,0.0007907907+0.0000000000j
-0.4958666667+0.0000000000j,0.4228693518+0.0000000000j,0.4272414039+0.0000000000j,0.0007925172+0.0000000000j,0.0007926253+0.0000000000j
-0.4958000000+0.0000000000j,0.4228639658+0.0000000000j,0.4272358773+0.0000000000j,0.0007943553+0.0000000000j,0.0007944638+0.0000000000j
-0.4957333333+0.0000000000j,0.4228585804+0.0000000000j,0.4272303513+0.0000000000j,0.0007961974+0.0000000000j,0.0007963062+0.0000000000j
-0.4956666667+0.0000000000j,0.4228531959+0.0000000000j,0.4272248264+0.0000000000j,0.0007980434+0.0000000000j,0.0007981527+0.0000000000j
-0.4956000000+0.0000000000j,0.4228478125+0.0000000000j,0.4272193030+0.0000000000j,0.0007998934+0.0000000000j,0.0008000030+0.0000000000j
-0.4955333333+0.0000000000j,0.4228424306+0.0000000000j,0.4272137811+0.0000000000j,0.0008017474+0.0000000000j,0.0008018574+0.0000000000j
-0.4954666667+0.0000000000j,0.4228370501+0.0000000000j,0.4272082612+0.0000000000j,0.0008036054+0.0000000000j,0.0008037157+0.0000000000j
-0.4954000000+0.0000000000j,0.4228316711+0.0000000000j,0.4272027433+0.0000000000j,0.0008054673+0.0000000000j,0.0008055781+0.0000000000j
-0.4953333333+0.0000000000j,0.4228262936+0.0000000000j,0.4271972273+0.0000000000j,0.0008073332+0.0000000000j,0.0008074444+0.0000000000j
-0.4952666667+0.0000000000j,0.4228209176+0.0000000000j,0.4271917131+0.0000000000j,0.0008092032+0.0000000000j,0.0008093147+0.0000000000j
-0.4952000000+0.0000000000j,0.4228155427+0.0000000000j,0.4271862006+0.0000000000j,0.0008110771+0.0000000000j,0.0008111891+0.0000000000j
-0.4951333333+0.0000000000j,0.4228101689+0.0000000000j,0.4271806895+0.0000000000j,0.0008129551+0.0000000000j,0.0008130674+0.0000000000j
-0.4950666667+0.0000000000j,0.4228047959+0.0000000000j,0.4271751794+0.0000000000j,0.0008148371+0.0000000000j,0.0008149498+0.0000000000j
-0.4950000000+0.0000000000j,0.4227994232+0.0000000000j,0.4271696699+0.0000000000j,0.0008167231+0.0000000000j,0.0008168363+0.0000000000j
-0.4949333333+0.0000000000j,0.4227940507+0.0000000000j,0.4271641605+0.0000000000j,0.0008186132+0.0000000000j,0.0008187267+0.0000000000j
-0.4948666667+0.0000000000j,0.4227886781+0.0000000000j,0.4271586510+0.0000000000j,0.0008205073+0.0000000000j,0.0008206213+0.0000000000j
-0.4948000000+0.0000000000j,0.4227833050+0.0000000000j,0.4271531408+0.0000000000j,0.0008224055+0.0000000000j,0.0008225198+0.0000000000j
-0.4947333333+0.0000000000j,0.4227779312+0.0000000000j,0.4271476297+0.0000000000j,0.0008243077+0.0000000000j,0.0008244225+0.0000000000j
-0.4946666667+0.0000000000j,0.4227725566+0.0000000000j,0.4271421175+0.0000000000j,0.0008262140+0.0000000000j,0.0008263292+0.0000000000j
-0.4946000000+0.0000000000j,0.4227671811+0.0000000000j,0.4271366039+0.0000000000j,0.0008281244+0.0000000000j,0.0008282400+0.0000000000j
-0.4945333333+0.0000000000j,0.4227618046+0.0000000000j,0.4271310889+0.0000000000j,0.0008300389+0.0000000000j,0.0008301549+0.0000000000j
-0.4944666667+0.0000000000j,0.4227564273+0.0000000000j,0.4271255726+0.0000000000j,0.0008319575+0.0000000000j,0.0008320739+0.0000000000j
-0.4944000000+0.0000000000j,0.4227510493+0.0000000000j,0.4271200551+0.0000000000j,0.0008338802+0.0000000000j,0.0008339970+0.0000000000j
-0.4943333333+0.0000000000j,0.4227456707+0.0000000000j,0.4271145367+0.0000000000j,0.0008358070+0.0000000000j,0.0008359242+0.0000000000j
-0.4942666667+0.0000000000j,0.4227402919+0.0000000000j,0.4271090178+0.0000000000j,0.0008377379+0.0000000000j,0.0008378556+0.0000000000j
-0.4942000000+0.0000000000j,0.4227349131+0.0000000000j,0.4271034987+0.0000000000j,0.0008396729+0.0000000000j,0.0008397910+0.0000000000j
-0.4941333333+0.0000000000j,0.4227295346+0.0000000000j,0.4270979799+0.0000000000j,0.0008416121+0.0000000000j,0.0008417306+0.0000000000j
