# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-2.0000000000+0.0000000000j,0.4948731687+0.0000000000j,0.4908045199+0.0000000000j,0.0006859530+0.0000000000j,0.0006860395+0.0000000000j
-1.9997333333+0.0000000000j,0.4948728288+0.0000000000j,0.4908041889+0.0000000000j,0.0006875608+0.0000000000j,0.0006876477+0.0000000000j
-1.9994666667+0.0000000000j,0.4948724890+0.0000000000j,0.4908038569+0.0000000000j,0.0006891721+0.0000000000j,0.0006892593+0.0000000000j
-1.9992000000+0.0000000000j,0.4948721497+0.0000000000j,0.4908035241+0.0000000000j,0.0006907869+0.0000000000j,0.0006908744+0.0000000000j
-1.9989333333+0.0000000000j,0.4948718109+0.0000000000j,0.4908031916+0.0000000000j,0.0006924052+0.0000000000j,0.0006924930+0.0000000000j
-1.9986666667+0.0000000000j,0.4948714718+0.0000000000j,0.4908028601+0.0000000000j,0.0006940270+0.0000000000j,0.0006941152+0.0000000000j
-1.9984000000+0.0000000000j,0.4948711319+0.0000000000j,0.4908025294+0.0000000000j,0.0006956524+0.0000000000j,0.0006957409+0.0000000000j
-1.9981333333+0.0000000000j,0.4948707919+0.0000000000j,0.4908021986+0.0000000000j,0.0006972813+0.0000000000j,0.0006973701+0.0000000000j
-1.9978666667+0.0000000000j,0.4948704520+0.0000000000j,0.4908018668+0.0000000000j,0.0006989137+0.0000000000j,0.0006990028+0.0000000000j
-1.9976000000+0.0000000000j,0.4948701125+0.0000000000j,0.4908015341+0.0000000000j,0.0007005497+0.0000000000j,0.0007006391+0.0000000000j
-1.9973333333+0.0000000000j,0.4948697737+0.0000000000j,0.4908012014+0.0000000000j,0.0007021892+0.0000000000j,0.0007022790+0.0000000000j
-1.9970666667+0.0000000000j,0.4948694348+0.0000000000j,0.4908008697+0.0000000000j,0.0007038323+0.0000000000j,0.0007039224+0.0000000000j
-1.9968000000+0.0000000000j,0.4948690950+0.0000000000j,0.4908005388+0.0000000000j,0.0007054790+0.0000000000j,0.0007055694+0.0000000000j
-1.9965333333+0.0000000000j,0.4948687549+0.0000000000j,0.4908002080+0.0000000000j,0.0007071292+0.0000000000j,0.0007072199+0.0000000000j
-1.9962666667+0.0000000000j,0.4948684151+0.0000000000j,0.4907998765+0.0000000000j,0.0007087830+0.0000000000j,0.0007088740+0.0000000000j
-1.9960000000+0.0000000000j,0.4948680755+0.0000000000j,0.4907995440+0.0000000000j,0.0007104404+0.0000000000j,0.0007105318+0.0000000000j
-1.9957333333+0.0000000000j,0.4948677365+0.0000000000j,0.4907992112+0.0000000000j,0.0007121014+0.0000000000j,0.0007121931+0.0000000000j
-1.9954666667+0.0000000000j,0.4948673977+0.0000000000j,0.4907988792+0.0000000000j,0.0007137660+0.0000000000j,0.0007138580+0.0000000000j
-1.9952000000+0.0000000000j,0.4948670581+0.0000000000j,0.4907985481+0.0000000000j,0.0007154342+0.0000000000j,0.0007155265+0.0000000000j
-1.9949333333+0.0000000000j,0.4948667180+0.0000000000j,0.4907982174+0.0000000000j,0.0007171060+0.0000000000j,0.0007171987+0.0000000000j
-1.9946666667+0.0000000000j,0.4948663781+0.0000000000j,0.4907978862+0.0000000000j,0.0007187814+0.0000000000j,0.0007188744+0.0000000000j
-1.9944000000+0.0000000000j,0.4948660385+0.0000000000j,0.4907975540+0.0000000000j,0.0007204605+0.0000000000j,0.0007205538+0.0000000000j
-1.9941333333+0.0000000000j,0.4948656993+0.0000000000j,0.4907972212+0.0000000000j,0.0007221432+0.0000000000j,0.0007222369+0.0000000000j
-1.9938666667+0.0000000000j,0.4948653606+0.0000000000j,0.4907968889+0.0000000000j,0.0007238295+0.0000000000j,0.0007239235+0.0000000000j
-1.9936000000+0.0000000000j,0.4948650212+0.0000000000j,0.4907965577+0.0000000000j,0.0007255195+0.0000000000j,0.0007256139+0.0000000000j
-1.9933333333+0.0000000000j,0.4948646811+0.0000000000j,0.4907962271+0.0000000000j,0.0007272132+0.0000000000j,0.0007273079+0.0000000000j
-1.9930666667+0.0000000000j,0.4948643412+0.0000000000j,0.4907958962+0.0000000000j,0.0007289105+0.0000000000j,0.0007290055+0.0000000000j
-1.9928000000+0.0000000000j,0.4948640015+0.0000000000j,0.4907955642+0.0000000000j,0.0007306115+0.0000000000j,0.0007307069+0.0000000000j
-1.9925333333+0.0000000000j,0.4948636621+0.0000000000j,0.4907952315+0.0000000000j,0.0007323162+0.0000000000j,0.0007324119+0.0000000000j
-1.9922666667+0.0000000000j,0.4948633234+0.0000000000j,0.4907948990+0.0000000000j,0.0007340245+0.0000000000j,0.0007341206+0.0000000000j
-1.9920000000+0.0000000000j,0.4948629843+0.0000000000j,0.4907945675+0.0000000000j,0.0007357366+0.0000000000j,0.0007358330+0.0000000000j
-1.9917333333+0.0000000000j,0.4948626443+0.0000000000j,0.4907942369+0.0000000000j,0.0007374523+0.0000000000j,0.0007375491+0.0000000000j
-1.9914666667+0.0000000000j,0.4948623043+0.0000000000j,0.4907939061+0.0000000000j,0.0007391718+0.0000000000j,0.0007392689+0.0000000000j
-1.9912000000+0.0000000000j,0.4948619645+0.0000000000j,0.4907935744+0.0000000000j,0.0007408950+0.0000000000j,0.0007409924+0.0000000000j
